admin2,indicator,choice,value,context,phase
bazega,critical_handwashing_times,avant_manger,0.9908307283683859,bfa_2020,NA
bougouriba,critical_handwashing_times,avant_manger,1,bfa_2020,NA
boulgou,critical_handwashing_times,avant_manger,0.9681951598463714,bfa_2020,NA
boulkiemde,critical_handwashing_times,avant_manger,0.9638707613779387,bfa_2020,NA
comoe,critical_handwashing_times,avant_manger,0.954159495185618,bfa_2020,NA
ganzourgou,critical_handwashing_times,avant_manger,0.9897180700094577,bfa_2020,NA
gnagna,critical_handwashing_times,avant_manger,0.9292497455971656,bfa_2020,NA
gourma,critical_handwashing_times,avant_manger,0.9472723320968998,bfa_2020,NA
houet,critical_handwashing_times,avant_manger,0.9849627184963916,bfa_2020,NA
ioba,critical_handwashing_times,avant_manger,0.9895730690333219,bfa_2020,NA
kadiogo,critical_handwashing_times,avant_manger,1.0000000000000002,bfa_2020,NA
kenedougou,critical_handwashing_times,avant_manger,0.9508697351411048,bfa_2020,NA
komonjdjari,critical_handwashing_times,avant_manger,0.934311593392047,bfa_2020,NA
kompienga,critical_handwashing_times,avant_manger,0.9619549362826155,bfa_2020,NA
kossi,critical_handwashing_times,avant_manger,0.9973269067198837,bfa_2020,NA
koulpelogo,critical_handwashing_times,avant_manger,0.8426070401311838,bfa_2020,NA
kouritenga,critical_handwashing_times,avant_manger,0.998227809212413,bfa_2020,NA
kourweogo,critical_handwashing_times,avant_manger,0.9348011633194052,bfa_2020,NA
leraba,critical_handwashing_times,avant_manger,1,bfa_2020,NA
loroum,critical_handwashing_times,avant_manger,0.9773884566752706,bfa_2020,NA
mouhoun,critical_handwashing_times,avant_manger,0.9851353949881145,bfa_2020,NA
nahouri,critical_handwashing_times,avant_manger,0.9683883658980142,bfa_2020,NA
namentenga,critical_handwashing_times,avant_manger,0.9038326002795011,bfa_2020,NA
nayala,critical_handwashing_times,avant_manger,1,bfa_2020,NA
oubritenga,critical_handwashing_times,avant_manger,0.9708498845731685,bfa_2020,NA
oudalan,critical_handwashing_times,avant_manger,0.992835830823805,bfa_2020,NA
passore,critical_handwashing_times,avant_manger,0.9555519945284192,bfa_2020,NA
poni,critical_handwashing_times,avant_manger,1,bfa_2020,NA
sanguie,critical_handwashing_times,avant_manger,0.9753092691815055,bfa_2020,NA
sanmatenga,critical_handwashing_times,avant_manger,0.9475434006519647,bfa_2020,NA
