admin2,semaine,nb_cases_cholera,nb_cases_awd,nb_death_awd,nb_cases_meningitis,nb_cases_malaria,nb_cases_dengues,femme_local,homme_local,total_local,total,total_pdi,weights_adm2,nb_cases_cholera_twoWeeks_mean,nb_cases_awd_twoWeeks_mean,nb_death_awd_twoWeeks_mean,nb_cases_meningitis_twoWeeks_mean,nb_cases_malaria_twoWeeks_mean,nb_cases_dengues_twoWeeks_mean,nb_cases_cholera_per100k,nb_cases_awd_per100k,nb_death_awd_per100k,nb_cases_meningitis_per100k,nb_cases_malaria_per100k,nb_cases_dengues_per100k,nb_cases_cholera_twoWeeks_mean_per100k,nb_cases_awd_twoWeeks_mean_per100k,nb_death_awd_twoWeeks_mean_per100k,nb_cases_meningitis_twoWeeks_mean_per100k,nb_cases_malaria_twoWeeks_mean_per100k,nb_cases_dengues_twoWeeks_mean_per100k
bam,22,0,0,0,0,44,3,211038,187515,398553,464454,65901,0.016630696165795496,0,0,0,0,37,2,0,0,0,0,9.473489301416286,0.6459197250965649,0,0,0,0,7.966343276190968,0.43061315006437667
bam,23,0,0,0,0,35,5,211038,187515,398553,464454,65901,0.016630696165795496,0,0,0,0,39.5,4,0,0,0,0,7.535730126126591,1.0765328751609418,0,0,0,0,8.504609713771439,0.8612263001287533
bam,24,0,0,0,0,32,0,211038,187515,398553,464454,65901,0.016630696165795496,0,0,0,0,33.5,2.5,0,0,0,0,6.889810401030027,0,0,0,0,0,7.212770263578309,0.5382664375804709
bam,25,0,0,0,0,40,0,211038,187515,398553,464454,65901,0.016630696165795496,0,0,0,0,36,0,0,0,0,0,8.612263001287534,0,0,0,0,0,7.75103670115878,0
bam,26,0,0,0,0,41,0,211038,187515,398553,464454,65901,0.016630696165795496,0,0,0,0,40.5,0,0,0,0,0,8.827569576319723,0,0,0,0,0,8.719916288803628,0
bam,27,0,0,0,0,37,0,211038,187515,398553,464454,65901,0.016630696165795496,0,0,0,0,39,0,0,0,0,0,7.966343276190968,0,0,0,0,0,8.396956426255345,0
bam,28,0,0,0,0,35,0,211038,187515,398553,464454,65901,0.016630696165795496,0,0,0,0,36,0,0,0,0,0,7.535730126126591,0,0,0,0,0,7.75103670115878,0
bam,29,0,0,0,0,53,0,211038,187515,398553,464454,65901,0.016630696165795496,0,0,0,0,44,0,0,0,0,0,11.411248476705982,0,0,0,0,0,9.473489301416286,0
bam,30,0,0,0,0,52,0,211038,187515,398553,464454,65901,0.016630696165795496,0,0,0,0,52.5,0,0,0,0,0,11.195941901673793,0,0,0,0,0,11.303595189189886,0
bam,31,0,0,0,0,49,0,211038,187515,398553,464454,65901,0.016630696165795496,0,0,0,0,50.5,0,0,0,0,0,10.550022176577228,0,0,0,0,0,10.872982039125512,0
bam,32,0,0,0,0,117,1,211038,187515,398553,464454,65901,0.016630696165795496,0,0,0,0,83,0.5,0,0,0,0,25.190869278766037,0.21530657503218834,0,0,0,0,17.870445727671633,0.10765328751609417
bam,33,0,0,0,0,252,0,211038,187515,398553,464454,65901,0.016630696165795496,0,0,0,0,184.5,0.5,0,0,0,0,54.257256908111465,0,0,0,0,0,39.724063093438744,0.10765328751609417
bam,34,0,0,0,0,219,0,211038,187515,398553,464454,65901,0.016630696165795496,0,0,0,0,235.5,0,0,0,0,0,47.152139932049245,0,0,0,0,0,50.704698420080355,0
bam,35,0,0,0,0,221,0,211038,187515,398553,464454,65901,0.016630696165795496,0,0,0,0,220,0,0,0,0,0,47.582753082113626,0,0,0,0,0,47.36744650708143,0
bam,36,0,0,0,0,250,0,211038,187515,398553,464454,65901,0.016630696165795496,0,0,0,0,235.5,0,0,0,0,0,53.82664375804708,0,0,0,0,0,50.704698420080355,0
bam,37,0,0,0,0,294,0,211038,187515,398553,464454,65901,0.016630696165795496,0,0,0,0,272,0,0,0,0,0,63.30013305946337,0,0,0,0,0,58.56338840875523,0
banwa,1,0,0,0,0,106,0,193560,188930,382490,384884,NA,0.013781534582705786,NA,NA,NA,NA,NA,NA,0,0,0,0,27.5407655293543,0,NA,NA,NA,NA,NA,NA
banwa,2,0,0,0,0,108,0,193560,188930,382490,384884,NA,0.013781534582705786,0,0,0,0,107,0,0,0,0,0,28.060402614813814,0,0,0,0,0,27.800584072084057,0
banwa,3,0,0,0,1,101,0,193560,188930,382490,384884,NA,0.013781534582705786,0,0,0,0.5,104.5,0,0,0,0,0.2598185427297576,26.241672815705513,0,0,0,0,0.1299092713648788,27.151037715259662,0
banwa,4,0,0,0,1,86,0,193560,188930,382490,384884,NA,0.013781534582705786,0,0,0,1,93.5,0,0,0,0,0.2598185427297576,22.344394674759148,0,0,0,0,0.2598185427297576,24.293033745232332,0
banwa,5,0,0,0,0,73,0,193560,188930,382490,384884,NA,0.013781534582705786,0,0,0,0.5,79.5,0,0,0,0,0,18.9667536192723,0,0,0,0,0.1299092713648788,20.655574147015724,0
banwa,6,0,0,0,0,72,0,193560,188930,382490,384884,NA,0.013781534582705786,0,0,0,0,72.5,0,0,0,0,0,18.706935076542543,0,0,0,0,0,18.836844347907423,0
banwa,7,0,0,0,0,66,0,193560,188930,382490,384884,NA,0.013781534582705786,0,0,0,0,69,0,0,0,0,0,17.148023820164,0,0,0,0,0,17.92747944835327,0
banwa,8,0,0,0,0,87,0,193560,188930,382490,384884,NA,0.013781534582705786,0,0,0,0,76.5,0,0,0,0,0,22.604213217488905,0,0,0,0,0,19.876118518826452,0
