admin2,year,month,nb_events
boulkiemde,2016,9,0
boulkiemde,2016,10,0
boulkiemde,2016,11,0
boulkiemde,2016,12,1
boulkiemde,2017,1,0
boulkiemde,2017,2,0
boulkiemde,2017,3,1
boulkiemde,2017,4,0
boulkiemde,2017,5,0
boulkiemde,2017,6,0
boulkiemde,2017,7,2
boulkiemde,2017,8,0
boulkiemde,2017,9,0
boulkiemde,2017,10,0
boulkiemde,2017,11,0
boulkiemde,2017,12,0
boulkiemde,2018,1,0
boulkiemde,2018,2,0
boulkiemde,2018,3,0
boulkiemde,2018,4,0
boulkiemde,2018,5,0
boulkiemde,2018,6,0
boulkiemde,2018,7,0
boulkiemde,2018,8,0
boulkiemde,2018,9,0
boulkiemde,2018,10,1
boulkiemde,2018,11,2
boulkiemde,2018,12,0
boulkiemde,2019,1,0
boulkiemde,2019,2,0
boulkiemde,2019,3,0
boulkiemde,2019,4,0
boulkiemde,2019,5,0
boulkiemde,2019,6,0
boulkiemde,2019,7,0
boulkiemde,2019,8,0
boulkiemde,2019,9,1
boulkiemde,2019,10,0
boulkiemde,2019,11,0
boulkiemde,2019,12,1
boulkiemde,2020,1,0
boulkiemde,2020,2,0
boulkiemde,2020,3,1
boulkiemde,2020,4,0
boulkiemde,2020,5,0
boulkiemde,2020,6,1
boulkiemde,2020,7,3
boulkiemde,2020,8,0
boulkiemde,2020,9,0
boulkiemde,2020,10,0
boulkiemde,2020,11,0
boulkiemde,2020,12,0
comoe,1997,2,0
comoe,1998,12,0
comoe,1999,1,0
comoe,1999,3,0
comoe,1999,4,0
comoe,1999,5,0
comoe,1999,6,0
comoe,1999,7,0
comoe,1999,8,2
comoe,1999,11,0
comoe,1999,12,0
comoe,2000,1,0
comoe,2000,4,0
comoe,2000,5,0
comoe,2000,10,0
comoe,2000,11,0
comoe,2000,12,0
comoe,2001,6,1
comoe,2001,7,0
comoe,2001,12,0
comoe,2002,2,0
comoe,2002,9,0
comoe,2003,10,0
comoe,2004,2,0
comoe,2004,6,0
comoe,2005,2,0
comoe,2005,10,0
comoe,2005,12,0
comoe,2006,5,0
comoe,2006,6,0
comoe,2006,7,0
comoe,2006,12,0
comoe,2007,10,0
comoe,2008,2,1
comoe,2008,3,0
comoe,2008,5,0
comoe,2008,6,0
comoe,2009,1,0
comoe,2010,2,0
comoe,2010,3,0
comoe,2010,4,0
comoe,2010,7,0
comoe,2011,1,0
comoe,2011,2,0
comoe,2011,3,3
comoe,2011,4,0
comoe,2011,5,0
comoe,2011,6,1
comoe,2011,7,0
comoe,2011,9,0
comoe,2011,12,0
comoe,2012,1,0
comoe,2012,2,0
comoe,2012,3,1
comoe,2012,4,0
comoe,2012,5,1
comoe,2012,6,0
comoe,2012,7,0
comoe,2012,8,0
comoe,2012,9,0
comoe,2012,10,0
comoe,2012,11,0
comoe,2012,12,0
comoe,2013,1,0
comoe,2013,2,1
comoe,2013,3,0
comoe,2013,5,0
comoe,2013,6,0
comoe,2013,7,0
comoe,2013,8,0
comoe,2013,9,0
comoe,2013,10,0
comoe,2013,11,0
comoe,2013,12,0
comoe,2014,1,0
comoe,2014,2,0
comoe,2014,3,1
comoe,2014,4,0
comoe,2014,5,1
comoe,2014,6,0
comoe,2014,7,0
comoe,2014,8,0
comoe,2014,9,0
comoe,2014,10,4
comoe,2014,11,0
comoe,2014,12,0
comoe,2015,1,1
comoe,2015,2,2
comoe,2015,3,0
comoe,2015,4,0
comoe,2015,5,0
comoe,2015,6,0
comoe,2015,7,0
comoe,2015,8,1
comoe,2015,9,1
comoe,2015,10,0
comoe,2015,11,1
comoe,2015,12,2
comoe,2016,1,0
comoe,2016,2,0
comoe,2016,3,2
comoe,2016,4,0
